ad_archive_id,ad_creation_time,currency,max_impressions,max_spend,min_impressions,min_spend,ad_url,page_name,page_id
262163864522032,2018-05-24,USD,14999,499,10000,400,https://www.facebook.com/ads/library/?id=262163864522032,AIPAC,40217893542
1469447789833459,2018-05-24,USD,7999,299,7000,200,https://www.facebook.com/ads/library/?id=1469447789833459,AIPAC,40217893542
1648496008532645,2018-05-24,USD,4999,99,4000,0,https://www.facebook.com/ads/library/?id=1648496008532645,AIPAC,40217893542
1749121418458286,2018-05-24,USD,14999,299,10000,200,https://www.facebook.com/ads/library/?id=1749121418458286,AIPAC,40217893542
1777482362321240,2018-05-24,USD,4999,199,4000,100,https://www.facebook.com/ads/library/?id=1777482362321240,AIPAC,40217893542
2027191977533317,2018-05-24,USD,14999,299,10000,200,https://www.facebook.com/ads/library/?id=2027191977533317,AIPAC,40217893542
1249320428533830,2018-05-24,USD,1999,99,1000,0,https://www.facebook.com/ads/library/?id=1249320428533830,AIPAC,40217893542
1369115709855052,2018-05-24,USD,3999,199,3000,100,https://www.facebook.com/ads/library/?id=1369115709855052,AIPAC,40217893542
168703140643704,2018-05-24,USD,14999,499,10000,400,https://www.facebook.com/ads/library/?id=168703140643704,AIPAC,40217893542
181322999247514,2018-05-24,USD,34999,999,30000,900,https://www.facebook.com/ads/library/?id=181322999247514,AIPAC,40217893542
225995684665145,2018-05-24,USD,19999,699,15000,600,https://www.facebook.com/ads/library/?id=225995684665145,AIPAC,40217893542
845336565650160,2018-05-24,USD,14999,599,10000,500,https://www.facebook.com/ads/library/?id=845336565650160,AIPAC,40217893542
1443488449129946,2018-05-24,USD,19999,499,15000,400,https://www.facebook.com/ads/library/?id=1443488449129946,AIPAC,40217893542
240274049860597,2018-05-24,USD,999,99,0,0,https://www.facebook.com/ads/library/?id=240274049860597,AIPAC,40217893542
386832468495721,2018-05-24,USD,1999,99,1000,0,https://www.facebook.com/ads/library/?id=386832468495721,AIPAC,40217893542
658769571125017,2018-05-24,USD,24999,999,20000,900,https://www.facebook.com/ads/library/?id=658769571125017,AIPAC,40217893542
2118253678393695,2018-05-24,USD,3999,99,3000,0,https://www.facebook.com/ads/library/?id=2118253678393695,AIPAC,40217893542
169095797272154,2018-05-24,USD,999,99,0,0,https://www.facebook.com/ads/library/?id=169095797272154,AIPAC,40217893542
202762860542890,2018-05-24,USD,999,99,0,0,https://www.facebook.com/ads/library/?id=202762860542890,AIPAC,40217893542
240028983242781,2018-05-24,USD,999,99,0,0,https://www.facebook.com/ads/library/?id=240028983242781,AIPAC,40217893542
255779601648203,2018-05-24,USD,999,99,0,0,https://www.facebook.com/ads/library/?id=255779601648203,AIPAC,40217893542
498185827266037,2018-05-24,USD,999,99,0,0,https://www.facebook.com/ads/library/?id=498185827266037,AIPAC,40217893542
1677513465677501,2018-05-24,USD,999,99,0,0,https://www.facebook.com/ads/library/?id=1677513465677501,AIPAC,40217893542
2005574912843413,2018-05-24,USD,999,99,0,0,https://www.facebook.com/ads/library/?id=2005574912843413,AIPAC,40217893542
